app,machine,scene1,scene2,layout,collisions,collision-time-ms,fcl-collision-time-ms,build-time-ms,fcl-build-time-ms,group,triangle-memory-b
cd,arm,hairball,hairball_60_70_10,fcl,5118441,9189,14322,2601,4018,None,207360000
cd,arm,hairball,hairball_60_70_10,fcl,5118441,9195,14315,2594,4017,None,207360000
cd,arm,hairball,hairball_60_70_10,fcl,5118441,9207,14331,2601,4012,None,207360000
cd,arm,hairball,hairball_60_70_10,fcl,5118441,9194,14350,2599,4026,None,207360000
cd,arm,hairball,hairball_60_70_10,fcl,5118441,9198,14288,2589,4014,None,207360000
cd,arm,hairball,hairball_60_70_10,fcl,5118441,9206,14301,2607,4011,None,207360000
cd,arm,hairball,hairball_60_70_10,fcl,5118441,9196,14291,2591,4010,None,207360000
cd,arm,hairball,hairball_60_70_10,fcl,5118441,9189,14319,2598,4012,None,207360000
cd,arm,hairball,hairball_60_70_10,fcl,5118441,9195,14342,2590,4028,None,207360000
cd,arm,hairball,dragon,fcl,123055,338,484,1350,2087,None,135050904
cd,arm,hairball,dragon,fcl,123055,345,485,1351,2081,None,135050904
cd,arm,hairball,dragon,fcl,123055,338,474,1345,2081,None,135050904
cd,arm,hairball,dragon,fcl,123055,345,481,1352,2085,None,135050904
cd,arm,hairball,dragon,fcl,123055,344,485,1356,2081,None,135050904
cd,arm,hairball,dragon,fcl,123055,345,484,1346,2092,None,135050904
cd,arm,hairball,dragon,fcl,123055,346,480,1350,2087,None,135050904
cd,arm,hairball,dragon,fcl,123055,345,483,1353,2081,None,135050904
cd,arm,hairball,dragon,fcl,123055,346,487,1351,2084,None,135050904
cd,arm,dragon_60_70_10,hairball_60_70_10,fcl,48238,193,237,1344,2086,None,135050904
cd,arm,dragon_60_70_10,hairball_60_70_10,fcl,48238,193,237,1344,2080,None,135050904
cd,arm,dragon_60_70_10,hairball_60_70_10,fcl,48238,193,236,1351,2092,None,135050904
cd,arm,dragon_60_70_10,hairball_60_70_10,fcl,48238,193,236,1341,2079,None,135050904
cd,arm,dragon_60_70_10,hairball_60_70_10,fcl,48238,192,242,1355,2092,None,135050904
cd,arm,dragon_60_70_10,hairball_60_70_10,fcl,48238,188,242,1382,2091,None,135050904
cd,arm,dragon_60_70_10,hairball_60_70_10,fcl,48238,193,240,1353,2081,None,135050904
cd,arm,dragon_60_70_10,hairball_60_70_10,fcl,48238,193,237,1350,2110,None,135050904
cd,arm,dragon_60_70_10,hairball_60_70_10,fcl,48238,192,243,1349,2102,None,135050904
cd,arm,hairball,hairball_60_70_10,pbrt-q16,5118441,11004,14197,2641,4012,bvh2,207360000
cd,arm,hairball,hairball_60_70_10,pbrt-q16,5118441,11040,14210,2637,4019,bvh2,207360000
cd,arm,hairball,hairball_60_70_10,pbrt-q16,5118441,11039,14202,2640,4028,bvh2,207360000
cd,arm,hairball,hairball_60_70_10,pbrt-q16,5118441,11014,14188,2646,4041,bvh2,207360000
cd,arm,hairball,hairball_60_70_10,pbrt-q16,5118441,11028,14218,2628,4015,bvh2,207360000
cd,arm,hairball,hairball_60_70_10,pbrt-q16,5118441,11017,14189,2639,4020,bvh2,207360000
cd,arm,hairball,hairball_60_70_10,pbrt-q16,5118441,10994,14234,2639,4013,bvh2,207360000
cd,arm,hairball,hairball_60_70_10,pbrt-q16,5118441,11025,14163,2643,4021,bvh2,207360000
