app,machine,scene,layout,query-count,cpq-time-ms,fcpw-cpq-time-ms,build-time-ms,fcpw-build-time-ms,group,total-memory-b,bvh-memory-b
cpq,arm,lucy,pbrt,100000,4621,5321,18261,14988,bvh2,1180918688,170912480
cpq,arm,lucy,pbrt,100000,5264,6422,18126,14413,bvh2,1180918688,170912480
cpq,arm,lucy,pbrt,100000,4646,5257,18105,14741,bvh2,1180918688,170912480
cpq,arm,lucy,pbrt,100000,5287,4766,16762,14323,bvh2,1180918688,170912480
cpq,arm,lucy,pbrt,100000,4562,4920,17366,14014,bvh2,1180918688,170912480
cpq,arm,lucy,pbrt,100000,4575,5019,16922,14123,bvh2,1180918688,170912480
cpq,arm,lucy,pbrt,100000,4686,4974,17067,14395,bvh2,1180918688,170912480
cpq,arm,lucy,pbrt,100000,4708,5273,17355,14501,bvh2,1180918688,170912480
cpq,arm,lucy,pbrt,100000,4750,5322,17192,14353,bvh2,1180918688,170912480
cpq,arm,hairball,pbrt,100000,306,279,1618,1266,bvh2,122237920,18557920
cpq,arm,hairball,pbrt,100000,327,300,1668,1358,bvh2,122237920,18557920
cpq,arm,hairball,pbrt,100000,290,271,1611,1314,bvh2,122237920,18557920
cpq,arm,hairball,pbrt,100000,281,270,1603,1278,bvh2,122237920,18557920
cpq,arm,hairball,pbrt,100000,279,271,1594,1271,bvh2,122237920,18557920
cpq,arm,hairball,pbrt,100000,284,268,1596,1272,bvh2,122237920,18557920
cpq,arm,hairball,pbrt,100000,278,269,1602,1269,bvh2,122237920,18557920
cpq,arm,hairball,pbrt,100000,283,269,1592,1274,bvh2,122237920,18557920
cpq,arm,hairball,pbrt,100000,289,271,1602,1271,bvh2,122237920,18557920
cpq,arm,white-oak,pbrt,100000,193,171,16,11,bvh2,1557248,233888
cpq,arm,white-oak,pbrt,100000,193,170,16,11,bvh2,1557248,233888
cpq,arm,white-oak,pbrt,100000,193,170,15,12,bvh2,1557248,233888
cpq,arm,white-oak,pbrt,100000,190,170,15,11,bvh2,1557248,233888
cpq,arm,white-oak,pbrt,100000,193,169,15,11,bvh2,1557248,233888
cpq,arm,white-oak,pbrt,100000,189,170,15,11,bvh2,1557248,233888
cpq,arm,white-oak,pbrt,100000,191,171,16,11,bvh2,1557248,233888
cpq,arm,white-oak,pbrt,100000,190,171,16,11,bvh2,1557248,233888
cpq,arm,white-oak,pbrt,100000,194,171,16,11,bvh2,1557248,233888
cpq,arm,sheep,pbrt,100000,2436,2501,1665,1336,bvh2,126387552,19551648
cpq,arm,sheep,pbrt,100000,2438,2395,1690,1331,bvh2,126387552,19551648
cpq,arm,sheep,pbrt,100000,2435,2506,1677,1341,bvh2,126387552,19551648
cpq,arm,sheep,pbrt,100000,2437,2400,1687,1329,bvh2,126387552,19551648
cpq,arm,sheep,pbrt,100000,2433,2402,1678,1328,bvh2,126387552,19551648
cpq,arm,sheep,pbrt,100000,2436,2401,1674,1330,bvh2,126387552,19551648
cpq,arm,sheep,pbrt,100000,2436,2404,1681,1331,bvh2,126387552,19551648
cpq,arm,sheep,pbrt,100000,2441,2410,1682,1329,bvh2,126387552,19551648
cpq,arm,sheep,pbrt,100000,2590,2397,1681,1333,bvh2,126387552,19551648
cpq,arm,san-miguel-x35-y22-z47,pbrt,100000,825,801,6226,5031,bvh2,418586432,64615136
cpq,arm,san-miguel-x35-y22-z47,pbrt,100000,826,768,6162,4961,bvh2,418586432,64615136
cpq,arm,san-miguel-x35-y22-z47,pbrt,100000,822,769,6140,4968,bvh2,418586432,64615136
cpq,arm,san-miguel-x35-y22-z47,pbrt,100000,823,770,6094,4974,bvh2,418586432,64615136
cpq,arm,san-miguel-x35-y22-z47,pbrt,100000,826,770,6120,4974,bvh2,418586432,64615136
cpq,arm,san-miguel-x35-y22-z47,pbrt,100000,822,767,6142,4982,bvh2,418586432,64615136
cpq,arm,san-miguel-x35-y22-z47,pbrt,100000,822,765,6150,4962,bvh2,418586432,64615136
cpq,arm,san-miguel-x35-y22-z47,pbrt,100000,925,769,6132,4945,bvh2,418586432,64615136
cpq,arm,san-miguel-x35-y22-z47,pbrt,100000,803,782,6204,4986,bvh2,418586432,64615136
cpq,arm,sponza,pbrt,100000,111,104,133,107,bvh2,11119148,1677536
cpq,arm,sponza,pbrt,100000,110,104,132,106,bvh2,11119148,1677536
cpq,arm,sponza,pbrt,100000,112,105,133,105,bvh2,11119148,1677536
cpq,arm,sponza,pbrt,100000,110,103,132,105,bvh2,11119148,1677536
cpq,arm,sponza,pbrt,100000,111,103,131,107,bvh2,11119148,1677536
cpq,arm,sponza,pbrt,100000,112,106,132,107,bvh2,11119148,1677536
cpq,arm,sponza,pbrt,100000,111,105,132,106,bvh2,11119148,1677536
cpq,arm,sponza,pbrt,100000,112,103,134,108,bvh2,11119148,1677536
cpq,arm,sponza,pbrt,100000,112,105,132,106,bvh2,11119148,1677536
cpq,arm,power-plant,pbrt,100000,262,264,8177,6718,bvh2,543553304,84220448
cpq,arm,power-plant,pbrt,100000,272,271,8191,6849,bvh2,543553304,84220448
cpq,arm,power-plant,pbrt,100000,265,256,8037,6620,bvh2,543553304,84220448
cpq,arm,power-plant,pbrt,100000,264,256,8127,6639,bvh2,543553304,84220448
cpq,arm,power-plant,pbrt,100000,268,257,7977,6635,bvh2,543553304,84220448
cpq,arm,power-plant,pbrt,100000,273,271,8077,6775,bvh2,543553304,84220448
