app,machine,scene,layout,intersect,ray_count,hits,trace_time-ms,group,ray_type,total-memory-b,bvh-memory-b
rt,x86,lucy,embree-qbvh8i,pc,262144,196779,20,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,524288,393812,39,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,1048576,787965,74,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,2097152,1576387,146,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,4194304,3153715,289,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,8388608,6308382,574,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,262144,196779,19,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,524288,393812,35,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,1048576,787965,69,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,2097152,1576387,135,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,4194304,3153715,269,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,8388608,6308382,536,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,262144,196779,18,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,524288,393812,35,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,1048576,787965,66,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,2097152,1576387,130,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,4194304,3153715,258,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,8388608,6308382,512,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,262144,196779,18,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,524288,393812,34,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,1048576,787965,67,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,2097152,1576387,132,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,4194304,3153715,262,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,8388608,6308382,520,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,262144,196779,19,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,524288,393812,36,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,1048576,787965,69,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,2097152,1576387,136,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,4194304,3153715,270,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,8388608,6308382,533,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,262144,196779,19,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,524288,393812,35,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,1048576,787965,69,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,2097152,1576387,135,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,4194304,3153715,269,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,8388608,6308382,535,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,262144,196779,19,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,524288,393812,39,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,1048576,787965,72,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,2097152,1576387,142,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,4194304,3153715,280,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,8388608,6308382,558,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,262144,196779,20,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,524288,393812,38,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,1048576,787965,76,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,2097152,1576387,149,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,4194304,3153715,295,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,8388608,6308382,587,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,262144,196779,18,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,524288,393812,35,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,1048576,787965,69,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,2097152,1576387,136,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,4194304,3153715,270,embree,primary,931975397,-78030811
rt,x86,lucy,embree-qbvh8i,pc,8388608,6308382,536,embree,primary,931975397,-78030811
rt,x86,lucy,embree-bvh8i,mt,262144,196779,18,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,524288,393812,33,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,1048576,787966,65,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,2097152,1576388,128,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,4194304,3153716,254,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,8388608,6308383,504,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,262144,196779,18,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,524288,393812,33,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,1048576,787966,68,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,2097152,1576388,130,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,4194304,3153716,256,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,8388608,6308383,510,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,262144,196779,17,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,524288,393812,33,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,1048576,787966,65,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,2097152,1576388,127,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,4194304,3153716,251,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,8388608,6308383,501,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,262144,196779,18,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,524288,393812,35,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,1048576,787966,69,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,2097152,1576388,134,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,4194304,3153716,266,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,8388608,6308383,529,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,262144,196779,18,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,524288,393812,34,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,1048576,787966,67,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,2097152,1576388,132,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,4194304,3153716,260,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,8388608,6308383,519,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,262144,196779,20,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,524288,393812,34,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,1048576,787966,68,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,2097152,1576388,134,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,4194304,3153716,264,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,8388608,6308383,528,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,262144,196779,19,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,524288,393812,35,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,1048576,787966,68,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,2097152,1576388,134,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,4194304,3153716,265,embree,primary,1175461036,165454828
